title,price,description,acreage,bathroom,bedroom,address,time
Căn hộ Quận Hải Châu 30m² 1PN,4500000,"Thông tin chi tiết: Cho thuê phòng kiểu căn hộ Full nội thất
- Địa chỉ: 574 đường 2 tháng 9
- Diện tích: 30m2
- Phòng rất thoáng mát, điều hòa, giường nệm, tủ áo quần,
bếp nấu, internet miễn phí, nhà để xe, lối đi riêng.
- Gần Trung tâm giải trí Helio, Cung văn hóa thiếu nhi
- Giá thuê:4.500.000/tháng
Liên hệ:",30,1,1,"574, Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",2020-02-18
Cho Thuê Căn Hộ View Đẹp Giá Rẻ,8500000,"Dự án: Cho Thuê Căn Hộ Lý Thường Kiệt.
Thông tin chi tiết: 😍Cho thuê căn hộ ngay đường Lý Thường Kiệt siêu đẹp view đẹp, tất cả đều đẹp, ( đẹp như Ngọc Trinh )
🥰Giá thuê siêu mềm cho các hộ gia đình và khách nước ngoài nè
9 triệu /tháng ở lâu dài có ưu đãi nhé các anh chị nào cần liên hệ em ngay nhé, không còn nhìu căn như này đâu nè
phòng sạch đẹp, khu vực an ninh tốt, sân để xe rộng rãi, có camera có bảo vệ, có thang máy, không thiếu gì hết nè, điện nước đầy đủ như Ngọc Trinh...
👉Liên hệ xem phòng hoặc kết bạn zalo em nhé

😍Apartment for rent on Ly Thuong Kiet street, super nice view, all beautiful, (beautiful as Ngoc Trinh)
Super soft rents for households and foreign guests
9 million / month in a long term with incentives, guys who need to contact me right away, no more nhìu base like this nè
Nice clean room, good security area, spacious parking yard, security camera, elevator, nothing missing, full electricity and water like Ngoc Trinh ...
👉Contact to see the room or make friends zalo",55,1,2,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",2020-02-18
Căn hộ Căn hộ 3Dhouse 20m² 1 PN,4000000,"Dự án: Căn hộ 3Dhouse
Thông tin chi tiết: Cho thuê phòng ở kiểu căn hộ Full nội thất mới 100%.
- Địa chỉ: 162 Phan Triêm (gần cầu Khuê Đông, cây xăng Long Bình, gần sân vận động).
- Căn 1 diện tích 20m2: giá thuê 4 triệu/tháng
- Căn 2 diện tích 24m2: giá thuê 4,5 triệu/tháng
- Căn 3 diện tích 30m2: giá thuê 5,5 triệu/tháng
Đây đủ tiện nghi, tiêu chuẩn của 1 căn hộ mini cao cấp.
Quy mô 5 tầng, có thang máy, nhà xe, nước nóng lạnh, wifi, bếp nấu, ti vi, tủ lanh, giường nệm tiêu chuẩn khách sạn 5 sao. ***Thanh toán: Cọc 1 tháng, thanh toán từng tháng. Thanh toán 3 tháng giảm 5%; thanh toán 6 tháng giảm 10%.",20,None,1,"162, Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2020-02-18
Căn hộ gần tttp giá rẻ,5000000,"Dự án: Cho thuê căn hộ lê minh trung
Thông tin chi tiết: 🏡 Studio xinh xắn dễ thương như này khách có thích ko ạ

👉Giá siêu mềm chỉ 5 triệu/tháng

Có ban công, view biển

🏖Ngay đường Lê Minh Trung thông ra Phạm Văn Đồng, gần biển, gần khu phố Hàn,...

Rộng 30m2, căn hộ mới full nội thất y hình

(máy giặc riêng)

Ngoài ra còn những căn rộng hơn giá từ 6-8 triệu/tháng

Khách nào chưa tìm được tổ ấm thì cưới ngay em này đi ạ

Nhỏ nhỏ xinh xinh ấm cúng giá siêu mềm

Liên hệ em xem phòng ngay nhé

🏡 Cute studio like this do you like it

👉Super soft price only 5 million / month

There is a balcony, sea view

🏖 Right on Le Minh Trung Street to Pham Van Dong, near the sea, near the Han Quarter, ...

30m2 wide, new apartment full furniture y

(separate washing machine)

There are also larger apartments priced from 6-8 million / month

Guests who have not found a home will marry me right away

Small, pretty, cozy, super soft price

Contact me to see the room now",30,1,1,"Đường Lê Minh Trung, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Cho thuê căn hộ giá rẻ tttp,5000000,"Dự án: Căn Hộ Lê Minh Trung.
Thông tin chi tiết: 🏡 Studio xinh xắn dễ thương như này khách có thích ko ạ
👉Giá siêu mềm chỉ 5 triệu/tháng
Có ban công, view biển
🏖Ngay đường Lê Minh Trung thông ra Phạm Văn Đồng, gần biển, gần khu phố Hàn,...
Rộng 30m2, căn hộ mới full nội thất y hình
(máy giặc riêng)
Ngoài ra còn những căn rộng hơn giá từ 6-8 triệu/tháng
Khách nào chưa tìm được tổ ấm thì cưới ngay em này đi ạ
Nhỏ nhỏ xinh xinh ấm cúng giá siêu mềm
Liên hệ em xem phòng ngay nhé

🏡 Cute studio like this do you like it
👉Super soft price only 5 million / month
There is a balcony, sea view
🏖 Right on Le Minh Trung Street to Pham Van Dong, near the sea, near the Han Quarter, ...
30m2 wide, new apartment full furniture y
(separate washing machine)
There are also larger apartments priced from 6-8 million / month
Guests who have not found a home will marry me right away
Small, pretty, cozy, super soft price
Contact me to see the room now",30,1,1,"Đường Lê Minh Trung, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ Căn hộ 3Dhouse 20m² 1 PN,,"Dự án: Căn hộ 3Dhouse
Thông tin chi tiết: Cho thuê phòng ở kiểu căn hộ Full nội thất mới 100%.
- Địa chỉ: 162 Phan Triêm (gần cầu Khuê Đông, cây xăng Long Bình, gần sân vận động).
- Căn 1 diện tích 20m2: giá thuê 4 triệu/tháng
- Căn 2 diện tích 24m2: giá thuê 4,5 triệu/tháng
- Căn 3 diện tích 30m2: giá thuê 5,5 triệu/tháng
Đây đủ tiện nghi, tiêu chuẩn của 1 căn hộ mini cao cấp.
Quy mô 5 tầng, có thang máy, nhà xe, nước nóng lạnh, wifi, bếp nấu, ti vi, tủ lanh, giường nệm tiêu chuẩn khách sạn 5 sao. ***Thanh toán: Cọc 1 tháng, thanh toán từng tháng. Thanh toán 3 tháng giảm 5%; thanh toán 6 tháng giảm 10%.",20,None,1,"162, Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2020-02-18
Căn hộ Quận Hải Châu 27m² 1PN đủ tiện nghi,4000000,"Đóng tiền 1 tháng 1 lần, đặt cọc 1 tháng,
chỉ còn căn tầng 4, nhà không có thang máy
hình ảnh trên là hình thật của căn hộ

+ giao nhà ngày 5/6, hình ảnh là ảnh thật căn hộ

+ tòa nhà chủ yếu người đi làm thuê, sống văn minh, lịch sự, an ninh, yên tĩnh

chính chủ cho thuê căn hộ mini, đầy đủ tiện nghi, điều hòa, máy nước nóng, máy giặt riêng trong phòng, tủ lạnh inverter 271L, bếp từ, giường, tủ quần áo, tủ bếp, kệ bếp ... thiết bị cao cấp
+ phòng cả gác lửng là 27m2, rộng rãi
+ điện 3k/chữ, nước 10k/ chữ, wifi 50k/ người, đồng hồ riêng từng căn hộ
+ giá trên ở 2 người, ở thêm người phụ phí 300k/ người, tối đa 4 người
+ giờ giấc tự do, mỗi người 1 chìa khóa cổng riêng.
+ tầng hầm 100m2 để xe rộng rãi
+ kiệt 2.5m xe máy quay đầu thoải mái, cách đầu đường k313 nguyễn hoàng 50m, hoặc đi kiệt 149 lê đình lý
có hóa đơn nếu cần",27,1,1,"27, K313 Nguyễn Hoàng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",2020-02-12
Cho thuê căn hộ giá rẻ tttp,5000000,"Dự án: Căn Hộ Lê Minh Trung.
Thông tin chi tiết: 🏡 Studio xinh xắn dễ thương như này khách có thích ko ạ
👉Giá siêu mềm chỉ 5 triệu/tháng
Có ban công, view biển
🏖Ngay đường Lê Minh Trung thông ra Phạm Văn Đồng, gần biển, gần khu phố Hàn,...
Rộng 30m2, căn hộ mới full nội thất y hình
(máy giặc riêng)
Ngoài ra còn những căn rộng hơn giá từ 6-8 triệu/tháng
Khách nào chưa tìm được tổ ấm thì cưới ngay em này đi ạ
Nhỏ nhỏ xinh xinh ấm cúng giá siêu mềm
Liên hệ em xem phòng ngay nhé

🏡 Cute studio like this do you like it
👉Super soft price only 5 million / month
There is a balcony, sea view
🏖 Right on Le Minh Trung Street to Pham Van Dong, near the sea, near the Han Quarter, ...
30m2 wide, new apartment full furniture y
(separate washing machine)
There are also larger apartments priced from 6-8 million / month
Guests who have not found a home will marry me right away
Small, pretty, cozy, super soft price
Contact me to see the room now",30,1,1,"Đường Lê Minh Trung, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ Quận Sơn Trà 60m² 1 PN,7000000,"Dự án: căn hộ cao cấp
Thông tin chi tiết: CHO THUÊ CĂN HỘ CAO CẤP - SƠN TRÀ- TP ĐÀ NẴNG
*** Cho thuê theo ngày, theo tuần, theo tháng
👉🏻 Liên hệ
❤️ Căn hộ nằm ngay trên tuyến đường cầu tình yêu, cầu quay - sông Hàn, gần Vincom, chợ và biển
❤️ Khu vực thi pháo hoa Quốc Tế , ngay khán đài A đối diện ☺️☺️
❤️ Căn hộ được trang bị đầy đủ trang thiết bị nội thất ( máy lạnh, tivi, tủ lạnh, máy giặt, bếp, full đồ cho 1 gia đình ) đáp ứng được nhu cầu hiện đại , tiện lợi cho cả gđ thuê mà muốn tự nấu ăn tại nhà ✌️
❤️Có khu vực để xe ôt, xe máy tiện lợi , hệ thống chữa cháy an toàn bảo vệ 24/24
❤️Căn hộ sẽ là nơi đáp ứng nhu cầu cho những ai đang có ý định du lịch , công tác, ở TP biển Đà Nẵng xinh đẹp nàyyyy 😍😍 . Xung quanh là các quán ăn hàn, nướng, nhật, siêu thị, chợ, nhà hàng caffe ,pub...
👉🏻 Vì thế ai có ý định du lịch Đà Nẵng thời gian tới liên hệ với mình nhé 💓💓💓",60,1,1,"193, Đường Trần Hưng Đạo, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ Xuân Diệu giảm giá bất chấp đến hết 14/3,5000000,"Cho thuê căn hộ 187-189 xuân diệu hải châu gần cầu thuận phước. phù hợp cả khách tây và khách ta.

Có thang máy, thang bộ, view đẹp, wifi miễn phí....
cho ở ngắn hạn và dài hạn tùy khách.

giá từ 5tr -6tr full nội thất cao cấp

Đặc biệt giảm đến 20% giá phòng đến hết 14/3

Diện tích: 35m2",30,1,1,"Đường Xuân Diệu, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",2020-02-18
Căn hộ Quận Sơn Trà 30m² giá rẻ mặt tiền loseby,4000000,"💥Cho thuê căn hộ mặt tiền đường loseby
Dt:30m2
Có đầy đủ tiện nghi : điều hoà , nóng lạnh ,giường nệm , tủ quần áo...
Vị trí vô cùng thuận tiện:
Cách : biển phạm văn đồng: 100m
Cách siêu thị vincom: 1 km
Đối diện là siêu thị mini mart
Đi qua tttp cách 1 km
👉Cách sân bay ĐN:2 km
💥Giá bình dân",30,1,1,"Đường Loseby||19866, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
"Căn hộ cho thuê giá rẻ - Ưu tiên ở lâu dài, -15%",3250000,"Khuyến mãi cực sốc đầu năm Canh Tý, giá chưa đến 03 triệu/ tháng. Căn hộ Cao Cấp Hương Long Giảm ngay 15% cho khách hợp đồng trả 1 lần 12 tháng. và 10% cho khách hợp đồng trả 1 lần 06 tháng. CĂN HỘ CAO CẤP ngay trung tâm thành phố Đà Nẵng đáng sống.

Chỉ xách vali đến và ở, căn hộ full nội thất cao cấp, nhiều tiện ích xung quanh,
- Vị trí Căn hộ tuyệt đẹp, đường 10,5 m, Ô tô đậu đổ thuận lợi,
- Ngay khu an ninh, an toàn tuyệt đối.
- Gần cầu vượt Ngã Ba Huế.
- Bảo vệ căn hộ 24/24, nhân viên dọn dẹp, nhà để xe rộng rãi, camera an ninh quan sát, điều hòa, máy giặt, nóng lạnh, bếp nấu tại chổ - Tận hưởng cuộc sống yên tĩnh, nội thất sang trọng, sạch sẽ., có phòng phơi đồ riêng cho từng phòng.
- Khu an ninh tốt (gần công an Phường) dân trí cao.
- Nơi ở gần chợ, gần trường học, giao thông thuận tiện gần bến xe trung tâm, sân bay, truong cấp 1,2,3, đại học, khu thương mại, ăn uống lân cận cực rẻ.
- Nơi tuyệt vời để bạn an cư lập nghiệp (nhất là các cặp vợ chồng mới cưới, nhân viên văn phòng...)
- GIÁ GỐC chỉ với 3,25 triệu/ tháng.
🎗️ Hiện chỉ còn 4 căn, Gọi ngay để đặt chỗ nha các bạn.(căn loại D 23,5 m2, và loại B 35,5 m2).
P/S: Ưu tiên người gọi điện, vì anh chủ ít online nha các bạn.

Liên hệ:
🏠 Lô 365-366 Đàm Văn Lễ, Q. Liên Chiểu, TP. Đà Nẵng
☎️ Hotline: - chủ căn hộ",35,1,1,"366, Đường Đàm Văn Lễ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",2020-02-18
Cho thuê căn hộ mini cao cấp Hoà Xuân giá rẻ,9000000,"Dự án: Khu đô thị sinh thái Hoà Xuân.
Thông tin chi tiết: Cho thuê căn hộ cao cấp Hòa Xuân giá rẻ bất ngờ.
Vị trí cực kỳ đắc địa thuận lợi, mặt tiền đường Nguyễn Phước Lan, bao quanh nhiều công trình tiện ích, khu vui chơi giải trí, công viên trường học, như cách siêu thị mua sắm Metro tằm 300m, công viên Châu Á, cung văn hoá thể thao Tuyên Sơn, Herio Senter khoảng 600m, cách biển tầm 3,5km, cách trung tâm phố 4km và sân bay Quốc tế Đà Nẵng 6km. Vậy đây thực sự là vị trí lý tưởng cho quý khách có nhu cầu thuê để ở tạm thời trong lúc mình chưa đủ điều kiện làm nhà hay đi công tác dài hạn.
- Căn hộ được thiết kế theo kiểu hiện đại thoáng mát view cực kỳ đẹp, có khu giặt, sấy dành riêng.
- Có 2 loại cho quý khách lựa chọn:
+ Căn một phòng ngủ diện tích rộng hơn 60m2 đầy đủ tiện nghi và nội thất.
* Giá: 9 triệu/ tháng.
+ Căn hai phòng ngủ diện tích rộng hơn 75 m2 đầy đủ tiện nghi và nội thất.
* Giá: 12 triệu/ tháng.
- Tiện nghi và nội thất gồm:
* Máy điều hòa, nóng lạnh cao cấp.
* Tủ áo quần, giường, kệ, bàn trang điểm.
* Phòng nào cũng có cửa sổ thoáng mát.
* Tất cả nội thất mới 100%.
* Phòng khách, bếp đầy đủ tiện nghi.
* Khu vực bếp thiết bị cao cấp.
Vậy quý khách nào có nhu cầu xin liên hệ:
Mr Thiện Holine:",55,None,2,"AA, Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2020-02-18
Tòa căn hộ giá hli tại biên zalo được tư vấn,65000000,"Click xemNcc
Tòa căn hộ khu khuê mỹ
Dtsd 500m
Gồm 8 căn 2pn
Dtich mỗi phòng 45m
Giá thuê 65tr( thiện chí ép giá)

- có thông tin nhà # trên hình ảnh, click vào để xem
- add zalo 0868/235/393biết thêm chi tiết và tìm nhà miễn phí theo yêu cầu",200,None,10,"Cặn hộ tại biển, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Siêu phẩm căn hộ mặt tiền TTTP,8000000,"Dự án: Căn hộ TTTP.
Thông tin chi tiết: 💥Siêu phẩm căn hộ ngay MT Lý Tự Trọng
💥Bàn giao full nội thất
💥Ngay TTTP. Dễ dàng kết nối các tiện ích xung quanh
💥30-50m2 ( 1 PN )
💥Chỉ từ 8tr/ tháng ( kí hđ 6 tháng trở lên)",30,None,1,"Đường Lý Tự Trọng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",2020-02-18
"Căn hộ Thanh Long, quận Hải Châu, TP Đà Nẵng",3900000,"Dự án: Căn hộ quận Hải Châu, TP Đà Nẵng.
Thông tin chi tiết: Cho thuê căn hộ đường Thanh Long, quận Hải Châu, TP Đà Nẵng
Vị trí:
- Nằm ở trung tâm Thành phố, tại khu dân trí cao, an ninh được đảm bảo
- Gần bệnh viện, trường học, siêu thị,...
- Kết nối đến các điểm du lịch toàn thành phố
- Cách biển Nguyễn Tất Thành chỉ 200m
Tiện ích:
- Hồ bơi tầng thượng
- Bar tầng thượng
- Tầng hầm để xe
- Thang máy
- An ninh 24/24h
- Quầy lễ tân
Thanh toán:
- Trả góp không lãi suất, mỗi tháng chỉ 10%
- Giá chỉ từ 295tr/căn full nội thất",35,None,1,"44, Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",2020-02-18
"căn hộ 25-70m2 đường phan châu trinh,TP đà nẵng.",5000000,"Dự án: cho thuê căn hộ đường phan châu trinh.
Thông tin chi tiết: -Cho Thuê Căn Hộ Đường Phan Châu Trinh trung tâm Thành phố cách cầu rồng 300 m .
-Được Thiết kế Sang trọng theo phong cách hiện đại thoáng mát . Đạt chuẩn cân hộ để vận hành . Nội thất mới 100% .
-Thông tin Cân Hộ Gồm :
+Loại 70 m2 Studio :full nội thất luxury và nội thất víp

+Loại 40 m2 studio : 3 căn full nội thất vip .

+Loại 40 m2 studio : 3 căn giá full nội thât víp .

+Loại 30 m2 studio : 3 căn giá full nội thất vip .

+Loại 25 m2 studio : 5 căn full nội thất vip .",70,None,1,"Đường Phan Châu Trinh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",2020-02-18
"Cho thuê căn hộ HIYORI - tầng 20 view đẹp, giá tốt",19000000,"Cần cho thuê căn hộ cao cấp tiêu chuẩn Nhật Bản - HIYORI GARDEN TOWER, ĐÀ NẴNG.
- Địa chỉ: nằm trong tòa căn hộ 28 tầng đường Võ Văn Kiệt, gần cầu Rồng, gần biển, giao thông đi lại cực kỳ thuận tiện.
- Căn hộ thiết kế gồm: 2 phòng ngủ, 1 phòng khách, 1 phòng bếp, 2 toilet, ban công.
- Diện tích: 61m2
- View hướng Nam cực kỳ đẹp và thoáng mát.
- Đầy đủ nội thất, chỉ việc đem áo quần vào ở thôi ạ.
- Giá cho thuê: 850 USD/tháng
Vui lòng liên hệ SĐT kèm theo",61,None,2,"Đường Võ Văn Kiệt, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ full nội thất cực xinh Lê Minh Trung 5tr,5000000,"🎉 Studio xinh xắn dễ thương như này khách có thích ko ạ?
Giá siêu mềm chỉ 5 triệu/tháng
Có ban công, view biển
Ngay đường Lê Minh Trung thông ra Phạm Văn Đồng, gần biển, gần khu phố Hàn,...
Rộng 30m2, căn hộ mới full nội thất y hình
(máy giặc riêng)
Ngoài ra còn những căn rộng hơn giá từ 6-8 triệu/tháng
Khách nào chưa tìm được tổ ấm thì cưới ngay em này đi ạ
Nhỏ nhỏ xinh xinh ấm cúng giá siêu mềm
LH em xem phòng ngay nhé",45,1,1,"Đường Lê Minh Trung, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
